,0
0,2000-1-8
1,2000-2-23
2,2000-2-27
3,2000-2-28
4,2000-2-25
5,2000-2-26
6,2000-2-24
7,2000-4-13
8,2000-4-27
9,2000-4-20
10,2000-5-5
11,2000-5-8
12,2000-5-27
13,2000-5-22
14,2000-5-23
15,2000-5-26
16,2000-6-1
17,2000-6-6
18,2000-6-3
19,2000-6-7
20,2000-6-8
21,2000-6-4
22,2000-6-5
23,2000-6-2
24,2000-8-8
25,2000-8-13
26,2000-8-12
27,2000-8-14
28,2000-8-11
29,2000-8-17
30,2000-8-16
31,2000-8-21
32,2000-8-24
33,2000-8-25
34,2000-8-26
35,2000-8-23
36,2000-8-18
37,2000-8-20
38,2000-8-19
39,2000-8-28
40,2000-9-1
41,2000-8-30
42,2000-8-29
43,2000-9-12
44,2000-11-29
