,month,year,mean_high_temp,mean_low_temp,mean_avg_temp,mean_precipitation,mean_dew_point,mean_high_dew_point,mean_low_dew_point,mean_avg_dew_point,mean_max_wind_speed,mean_month_visibility,mean_sea_pressure
0,1,2010,53.55,31.94,42.03,0.0,28.87,35.39,13.77,28.87,17.84,10.0,28.32
1,2,2010,50.36,33.43,41.25,0.0,29.3,35.71,13.75,29.3,17.82,9.86,28.26
2,3,2010,66.65,42.9,54.17,0.0,33.61,41.19,15.35,33.61,22.0,10.0,28.18
3,4,2010,74.83,53.1,64.48,0.0,47.53,54.2,36.83,47.53,22.17,10.0,28.1
4,5,2010,82.97,62.77,72.28,0.0,55.47,60.81,46.65,55.47,20.45,10.0,28.09
5,6,2010,93.27,70.07,81.45,0.0,64.49,68.33,58.57,64.49,19.97,10.0,28.08
6,7,2010,90.87,73.42,80.97,0.0,68.19,71.26,62.0,68.19,17.0,10.0,28.15
7,8,2010,97.13,75.35,85.71,0.0,63.65,68.06,58.55,63.65,16.06,10.0,28.09
8,9,2010,87.77,67.7,76.99,0.0,61.6,67.57,54.47,61.6,17.3,10.0,28.14
9,10,2010,79.81,53.94,66.69,0.0,44.28,50.39,34.0,44.28,14.71,10.0,28.24
10,11,2010,68.67,42.23,55.52,0.0,33.9,43.27,16.33,33.9,20.8,10.0,28.27
11,1,2011,56.16,30.39,42.02,0.0,26.22,33.94,15.71,26.22,17.94,10.0,28.31
12,2,2011,59.29,34.36,46.15,0.0,29.67,38.0,15.89,29.67,19.46,9.64,28.28
13,3,2011,74.48,47.58,60.21,0.0,38.06,46.32,24.71,38.06,20.35,10.0,28.19
14,4,2011,86.5,58.73,71.97,0.0,40.59,54.23,20.13,40.59,23.8,10.0,28.02
15,5,2011,88.39,62.39,74.85,0.0,50.46,58.9,36.06,50.46,22.1,10.0,28.03
16,6,2011,100.13,74.83,87.75,0.0,57.6,65.27,49.33,57.6,22.5,10.0,28.01
17,7,2011,100.94,76.23,89.98,0.0,59.25,65.35,50.03,59.25,16.68,10.0,28.05
18,8,2011,101.29,74.1,89.57,0.0,59.74,66.52,48.97,59.74,16.97,10.0,28.04
19,9,2011,91.04,63.07,78.09,0.0,49.07,54.85,38.15,49.07,15.3,10.0,28.15
20,10,2011,78.97,52.03,66.23,0.0,46.73,52.9,30.45,46.73,18.52,10.0,28.21
21,11,2011,67.33,41.5,54.8,0.0,38.01,46.2,24.97,38.01,20.03,10.0,28.3
22,1,2012,61.84,36.16,48.38,0.0,31.12,38.39,17.58,31.12,19.65,10.0,28.33
23,2,2012,61.14,39.41,50.32,0.0,35.11,43.03,20.66,35.11,19.66,10.0,28.33
24,3,2012,72.0,49.73,60.89,0.0,46.65,53.3,33.1,46.65,20.03,10.0,28.16
25,4,2012,83.96,54.65,71.37,0.0,50.4,56.61,38.57,50.4,18.65,10.0,28.09
26,5,2012,87.16,57.23,75.52,0.0,58.86,63.87,46.23,58.86,19.52,10.0,28.07
27,6,2012,94.2,70.77,82.59,0.0,62.67,66.5,57.97,62.67,20.3,10.0,28.04
28,7,2012,96.68,73.65,84.68,0.0,62.54,67.77,53.23,62.54,19.0,10.0,28.11
29,8,2012,97.03,73.71,84.75,0.0,60.12,65.1,53.39,60.12,16.45,10.0,28.1
30,9,2012,87.8,66.9,76.34,0.0,55.85,61.33,47.6,55.85,17.1,10.0,28.17
31,10,2012,75.23,52.48,63.94,0.0,48.19,54.55,35.48,48.19,17.42,10.0,28.19
32,11,2012,71.33,47.37,58.8,0.0,40.54,47.37,29.77,40.54,16.47,10.0,28.32
33,1,2013,57.52,35.03,45.63,0.0,30.23,38.68,16.9,30.23,16.94,10.0,28.33
34,2,2013,62.82,37.68,49.75,0.0,29.86,41.04,14.11,29.86,19.61,10.0,28.23
35,3,2013,71.13,45.1,57.36,0.0,33.07,40.61,23.23,33.07,21.94,10.0,28.23
36,4,2013,77.4,49.43,62.49,0.0,43.65,51.63,28.03,43.65,22.4,10.0,28.12
37,5,2013,85.03,61.23,72.64,0.0,54.82,60.84,45.0,54.82,22.87,10.0,28.11
38,6,2013,93.2,66.63,81.77,0.0,62.54,67.63,52.83,62.54,21.7,10.0,28.08
39,7,2013,91.94,72.58,82.12,0.0,61.01,65.87,53.06,61.01,14.9,10.0,28.13
40,8,2013,95.39,73.19,83.96,0.0,62.12,65.9,58.06,62.12,15.9,10.0,28.14
41,9,2013,89.57,67.37,78.34,0.0,58.88,63.63,50.8,58.88,16.5,10.0,28.12
42,10,2013,77.71,54.74,65.89,0.0,50.18,57.19,39.97,50.18,17.87,10.0,28.2
43,11,2013,63.1,38.47,50.98,0.0,34.09,43.9,17.9,34.09,18.63,10.0,28.38
44,1,2014,58.48,30.77,43.71,0.0,18.86,26.97,7.68,18.86,19.81,10.0,28.39
45,2,2014,56.64,32.75,44.7,0.0,27.01,36.64,11.14,27.01,19.21,9.89,28.27
46,3,2014,69.06,41.48,54.1,0.02,30.03,39.13,17.94,30.03,21.87,10.0,28.28
47,4,2014,79.13,53.13,66.65,0.02,40.96,48.9,29.97,40.96,23.77,10.0,28.16
48,5,2014,87.26,60.71,74.0,0.07,47.65,54.16,39.45,47.65,21.19,10.0,28.15
49,6,2014,89.77,65.9,79.5,0.11,64.75,68.77,53.4,64.75,22.03,10.0,28.11
50,7,2014,93.32,67.97,82.14,0.07,63.12,68.35,51.97,63.12,16.74,10.0,28.23
51,8,2014,95.45,71.81,84.34,0.01,61.17,66.26,54.1,61.17,16.55,10.0,28.18
52,9,2014,87.27,66.7,76.43,0.03,61.96,66.07,57.9,61.96,15.8,10.0,28.23
53,10,2014,83.42,59.48,70.77,0.03,51.2,56.68,45.0,51.2,17.52,10.0,28.22
54,11,2014,63.83,40.47,50.81,0.08,35.58,41.97,29.07,35.58,21.57,10.0,28.36
55,1,2015,52.61,33.19,42.19,0.05,28.99,34.94,23.48,28.99,17.42,10.0,28.46
56,2,2015,57.43,34.07,44.81,0.07,32.05,37.93,25.21,32.05,19.39,9.96,28.37
57,3,2015,66.9,44.68,54.87,0.05,42.29,48.0,36.19,42.29,16.55,10.0,28.33
58,4,2015,77.23,56.1,65.82,0.07,52.04,58.33,45.07,52.04,20.17,10.0,28.15
59,5,2015,80.74,61.45,70.17,0.17,60.43,65.06,54.48,60.43,21.26,10.0,28.18
60,6,2015,90.27,69.93,79.44,0.12,65.61,69.07,61.77,65.61,17.73,10.0,28.17
61,7,2015,94.26,73.9,83.52,0.27,66.31,69.94,62.58,66.31,17.06,10.0,28.16
62,8,2015,96.87,72.81,84.08,0.02,62.15,67.03,57.48,62.15,16.9,10.0,28.18
63,9,2015,91.7,68.8,79.68,0.04,60.3,65.63,53.07,60.3,16.1,10.0,28.18
64,10,2015,81.29,57.0,68.58,0.26,50.34,55.48,42.71,50.34,16.97,10.0,28.25
65,11,2015,65.1,44.77,54.89,0.13,43.94,50.53,36.33,43.94,19.1,10.0,28.27
66,1,2016,57.1,34.26,44.89,0.0,31.15,36.9,25.58,31.15,17.23,10.0,28.31
67,2,2016,66.52,40.07,52.98,0.02,33.18,39.0,25.86,33.18,20.21,10.0,28.33
68,3,2016,70.94,48.45,59.29,0.07,43.15,50.06,35.39,43.15,22.16,10.0,28.18
69,4,2016,74.87,53.53,63.79,0.21,49.76,54.93,40.37,49.76,21.6,10.0,28.18
70,5,2016,80.55,58.32,68.96,0.27,58.57,63.97,46.13,58.57,22.42,10.0,28.17
71,6,2016,89.37,69.97,78.85,0.11,66.28,69.47,62.7,66.28,16.07,10.0,28.19
72,7,2016,97.32,75.55,86.15,0.02,65.91,69.94,60.84,65.91,19.48,10.0,28.17
73,8,2016,92.52,72.74,81.34,0.17,65.38,69.81,58.32,65.38,17.81,10.0,28.2
74,9,2016,85.73,66.67,75.26,0.2,64.6,67.8,61.0,64.6,15.53,10.0,28.25
75,10,2016,82.48,58.0,69.99,0.01,56.25,60.68,49.84,56.25,17.55,10.0,28.25
76,11,2016,69.67,44.3,58.13,0.04,45.99,52.73,36.03,45.99,17.13,10.0,28.34
77,1,2017,58.42,33.26,45.19,0.06,29.15,36.9,20.94,29.15,19.32,10.0,28.29
78,2,2017,67.82,43.93,54.94,0.05,37.79,44.68,30.0,37.79,19.93,10.0,28.22
79,3,2017,75.0,50.03,61.79,0.01,45.32,53.06,36.32,45.32,21.55,10.0,28.27
80,4,2017,76.93,53.8,64.8,0.04,50.88,56.43,45.1,50.88,21.43,10.0,28.13
81,5,2017,82.65,33.16,67.46,0.05,51.2,60.42,26.9,51.2,21.65,10.0,28.12
82,6,2017,89.93,68.97,78.92,0.06,65.74,69.33,57.37,65.74,18.33,10.0,28.11
83,7,2017,95.03,72.1,83.32,0.03,64.73,69.03,60.1,64.73,17.97,10.0,28.22
84,8,2017,89.29,69.48,77.94,0.12,66.34,70.26,60.0,66.34,16.45,10.0,28.19
85,9,2017,86.1,64.93,74.77,0.14,59.24,63.17,52.8,59.24,16.37,9.93,28.19
86,10,2017,77.48,52.71,64.72,0.0,48.17,54.71,41.26,48.17,18.97,10.0,28.29
87,11,2017,69.07,46.3,56.74,0.03,44.18,50.07,38.13,44.18,17.83,10.0,28.32
88,1,2018,56.81,29.23,42.33,0.0,23.26,30.42,15.94,23.26,18.9,10.0,28.45
89,2,2018,60.25,34.36,45.98,0.09,33.66,44.04,23.36,33.66,19.5,9.93,28.32
90,3,2018,71.39,47.61,59.17,0.0,40.26,49.1,29.58,40.26,21.0,10.0,28.23
91,4,2018,75.43,46.57,60.56,0.01,41.57,49.8,32.53,41.57,22.3,10.0,28.26
92,5,2018,89.97,65.97,77.54,0.06,59.6,64.16,53.84,59.6,20.42,10.0,28.12
93,6,2018,94.93,72.37,83.32,0.09,64.24,68.8,57.47,64.24,21.47,10.0,28.12
94,7,2018,96.29,73.61,84.38,0.05,61.31,67.06,55.1,61.31,16.77,10.0,28.23
95,8,2018,95.1,69.0,83.58,0.05,61.18,68.1,49.19,61.18,17.32,10.0,28.2
96,9,2018,83.43,64.0,72.79,0.19,64.77,68.8,52.3,64.77,15.87,10.0,28.2
97,10,2018,76.03,42.65,61.57,0.36,53.82,59.65,32.26,53.82,16.84,10.0,28.24
98,11,2018,63.6,40.43,51.34,0.04,37.64,43.7,31.47,37.64,18.0,10.0,28.3
99,1,2019,55.84,36.39,45.61,0.03,32.84,38.74,26.68,32.84,19.16,9.9,28.36
100,2,2019,60.75,40.25,49.69,0.01,37.68,44.93,29.75,37.68,18.61,10.0,28.25
101,3,2019,64.71,43.45,53.55,0.04,38.48,45.16,31.65,38.48,19.74,9.9,28.33
102,4,2019,77.9,55.23,65.89,0.16,50.11,55.87,43.7,50.11,21.53,10.0,28.14
103,5,2019,80.39,61.94,70.29,0.23,61.69,66.45,55.1,61.69,20.32,10.0,28.09
104,6,2019,90.03,68.23,78.28,0.1,65.35,69.67,59.1,65.35,20.3,10.0,28.16
105,7,2019,94.84,72.84,83.51,0.02,66.15,69.97,57.1,66.15,16.81,10.0,28.19
106,8,2019,99.55,72.03,87.3,0.01,63.56,68.42,54.06,63.56,18.13,10.0,28.14
107,9,2019,94.8,72.63,82.95,0.03,61.93,66.7,56.7,61.93,17.43,10.0,28.19
108,10,2019,77.0,50.29,63.58,0.01,42.12,48.84,32.23,42.12,19.39,10.0,28.25
109,11,2019,65.03,39.67,51.81,0.07,36.42,44.17,28.43,36.42,18.93,10.0,28.33
110,1,2020,61.97,37.61,49.09,0.02,34.0,41.84,25.74,34.0,19.19,10.0,28.32
111,2,2020,59.21,36.48,47.28,0.11,33.46,40.48,26.31,33.46,19.07,10.0,28.33
112,3,2020,71.35,52.39,60.92,0.15,49.42,57.19,35.81,49.42,19.77,10.0,28.24
113,4,2020,75.93,43.13,62.56,0.02,47.66,55.93,33.0,47.66,19.7,10.0,28.18
114,5,2020,88.9,62.55,75.64,0.05,56.2,62.13,49.87,56.2,21.26,10.0,28.15
115,6,2020,92.77,69.1,80.75,0.12,60.86,66.17,54.63,60.86,20.1,10.0,28.17
116,7,2020,96.65,75.26,85.01,0.06,65.84,70.32,60.97,65.84,17.16,10.0,28.15
117,8,2020,98.23,73.58,85.82,0.0,60.75,66.42,55.42,60.75,16.35,10.0,28.16
118,9,2020,83.5,61.53,71.68,0.02,58.8,63.4,52.37,58.8,15.3,10.0,28.26
119,10,2020,78.06,51.71,63.87,0.03,46.36,53.13,39.74,46.36,18.16,9.87,28.27
120,11,2020,71.5,47.68,59.03,0.03,41.1,47.86,33.29,41.1,17.96,10.0,28.35
